ABCA4	0000512, 0007814, 0000518, 0000007, 0000135, 0000648, 0000649, 0000405, 0000662, 0000407, 0007703, 0007704, 0000543, 0008736, 0007843, 0000035, 0030500, 0000548, 0000551, 0007722, 0000431, 0000563, 0007737, 0000572, 0008002, 0001347, 0000842, 0000463, 0000602, 0005978, 0000603, 0000987, 0000608, 0001249, 0000610, 0008035, 0000613, 0001513, 0000618, 0001133, 0000493, 0008046, 0007663, 0011504, 0000501, 0000505, 0030329, 0008059, 0007675, 0000510, 0000639, 
LZTR1	0000768, 0001156, 0000006, 0000391, 0001671, 0000520, 0001928, 0100625, 0001680, 0000407, 0000535, 0011800, 0011675, 0000028, 0002974, 0002208, 0002212, 0008872, 0001324, 0000044, 0000179, 0007477, 0001718, 0005692, 0000316, 0002750, 0004415, 0002240, 0000325, 0010318, 0001743, 0000465, 0006610, 0000470, 0002650, 0000474, 0000218, 0000347, 0000476, 0000348, 0011869, 0011362, 0004322, 0000995, 0001252, 0001892, 0000486, 0001641, 0001642, 0001260, 0001004, 0000494, 0000368, 0004209, 0002162, 0011381, 0000508, 0000766, 0000639, 0000767, 
ABL1	0001744, 0001873, 0001974, 0001894, 0001912, 0001945, 0012378, 0005547, 0004396, 
ESS2	0001537, 0000194, 0001155, 0002627, 0000581, 0000006, 0000201, 0001611, 0000718, 0000720, 0006549, 0002901, 0000598, 0000278, 0000023, 0000220, 0001629, 0000414, 0002719, 0011999, 0001249, 0004322, 0001252, 0001636, 0012841, 0000430, 0000175, 0001328, 0000818, 0000627, 0005435, 0000252, 
ACACA	0001510, 0000007, 0001290, 0003198, 
ACADM	0002240, 0003234, 0001250, 0003108, 0002181, 0001254, 0000007, 0001290, 0001259, 0001263, 0001397, 0008309, 0001942, 0001943, 0002013, 0002910, 
AICDA	0002720, 0002721, 0200117, 0000007, 0004315, 0002716, 0002205, 0002718, 0004798, 0002959, 
ACADS	0000544, 0001250, 0001508, 0010628, 0002500, 0000709, 0001254, 0001638, 0000007, 0003623, 0008872, 0001290, 0000590, 0000750, 0004911, 0001263, 0003219, 0002650, 0001371, 0003198, 
ACADSB	0000577, 0001250, 0001254, 0000007, 0003593, 0001290, 0001263, 0003700, 0001270, 0001943, 0000252, 0002045, 0005949, 
APCDD1	0000006, 0002231, 0000535, 0000007, 0001596, 0000653, 0004782, 0001006, 
ACADVL	0003552, 0002240, 0003234, 0003236, 0002789, 0001958, 0001254, 0000007, 0001639, 0001290, 0001324, 0001645, 0003215, 0008305, 0001397, 0009045, 0003738, 0001404, 0002013, 
ACAT1	0001249, 0005974, 0000007, 0001944, 0002013, 
ACAT2	0003745, 0003542, 0002151, 0002072, 0001290, 0001263, 
DNAJC19	0001249, 0008897, 0001635, 0002470, 0001414, 0000007, 0001511, 0000648, 0001644, 0001324, 0001645, 0003150, 0000047, 0003344, 0012817, 0004856, 0001657, 0000028, 0008734, 
USP9X	0000518, 0001290, 0001419, 0002827, 0012813, 0001423, 0001305, 0000540, 0002205, 0000414, 0001182, 0002079, 0005280, 0000545, 0100259, 0000164, 0011304, 0001321, 0000431, 0000175, 0002098, 0000319, 0000448, 0011968, 0000960, 0000193, 0000324, 0000453, 0012745, 0000718, 0100559, 0011220, 0000341, 0000343, 0000601, 0002650, 0001631, 0001249, 0001761, 0004322, 0001250, 0000483, 0003812, 0000998, 0000358, 0000486, 0002023, 0002536, 0001385, 0001643, 0001388, 0001773, 0000365, 0002926, 0000110, 0000750, 0001263, 0000369, 0200055, 0000248, 0000126, 
RBM10	0030084, 0000199, 0000648, 0012745, 0001417, 0001290, 0000395, 0001419, 0000463, 0000085, 0000218, 0000347, 0001762, 0000162, 0100259, 0009891, 0001508, 0001636, 0000358, 0008551, 0001511, 0001320, 0002984, 0001321, 0000879, 0000431, 0000175, 0006191, 0000239, 0001263, 0000369, 0012725, 0001273, 0000954, 0000126, 0000767, 
KDM5C	0000256, 0001156, 0030084, 0001419, 0100490, 0007565, 0000400, 0002705, 0001176, 0009882, 0000411, 0000028, 0000540, 0008734, 0001182, 0003487, 0000545, 0000297, 0000426, 0000303, 0002229, 0000054, 0004279, 0002362, 0000699, 0008124, 0000319, 0001347, 0000582, 0000711, 0000327, 0000717, 0000718, 0000218, 0000219, 0000347, 0002395, 0000221, 0000350, 0001762, 0001250, 0004322, 0000486, 0006887, 0000744, 0001257, 0000490, 0007020, 0001773, 0000750, 0006895, 0010864, 0008944, 0000252, 0000767, 
ACO2	0030528, 0002305, 0000642, 0007108, 0001284, 0000007, 0000648, 0002120, 0003593, 0001290, 0011344, 0000407, 0002079, 0001250, 0001251, 0001508, 0000486, 0000556, 0007663, 0010864, 0001265, 0001272, 0000505, 0000253, 0000639, 
SMC1A	0000003, 0000518, 0002566, 0000776, 0002827, 0000527, 0000786, 0002580, 0001557, 0000028, 0008736, 0000545, 0000294, 0000047, 0010034, 0000823, 0002360, 0000059, 0010300, 0000574, 0000319, 0002119, 0002120, 0000076, 0000083, 0000341, 0001622, 0000343, 0001883, 0000347, 0001629, 0001631, 0009830, 0001639, 0001385, 0007018, 0001387, 0010864, 0000368, 0004209, 0002162, 0200055, 0002167, 0003196, 0000639, 0010880, 0000130, 0001156, 0030084, 0012165, 0001419, 0001423, 0000400, 0008850, 0000405, 0000407, 0009623, 0000664, 0002714, 0000667, 0000413, 0002974, 0005280, 0002465, 0001956, 0002983, 0008872, 0000426, 0000684, 0007598, 0000175, 0000687, 0002996, 0002230, 0002750, 0100543, 0007360, 0000965, 0000453, 0000717, 0000463, 0000722, 0000470, 0000218, 0000219, 0001249, 0004322, 0003042, 0001250, 0000482, 0000739, 0002020, 0001508, 0001252, 0002021, 0000486, 0001511, 0000233, 0001770, 0001773, 0000494, 0001007, 0001263, 0007665, 0000498, 0000501, 0000248, 0002553, 0000508, 0001276, 0000252, 0002557, 0000767, 
ACOX1	0000512, 0000007, 0000648, 0001288, 0003593, 0007305, 0001161, 0000649, 0000654, 0001939, 0000407, 0006555, 0000668, 0000286, 0003487, 0005280, 0000545, 0000547, 0001319, 0008619, 0002093, 0000431, 0002353, 0001332, 0008763, 0000316, 0002240, 0001347, 0000580, 0002376, 0011344, 0002007, 0002910, 0002015, 0012639, 0000737, 0001250, 0001508, 0001252, 0000486, 0006887, 0002415, 0001263, 0010864, 0000369, 0003186, 0001522, 0002167, 0000248, 0001276, 0000639, 
ACP2	0002179, 0001892, 0000007, 0001290, 0002013, 
FRMD7	0001425, 0006934, 0003593, 0000666, 0012043, 0001419, 0001423, 0007663, 
ACP5	0000006, 0000007, 0005576, 0001034, 0005387, 0000460, 0002958, 0003025, 0000403, 0000979, 0001045, 0001370, 0005403, 0002716, 0002205, 0000926, 0002657, 0004322, 0011108, 0003621, 0003301, 0007526, 0001256, 0002090, 0002091, 0002478, 0001264, 0000369, 0004979, 0001973, 0000821, 0002938, 0005374, 0002751, 
ACTA1	0003713, 0006785, 0003458, 0001283, 0003715, 0001284, 0010628, 0000006, 0000007, 0003722, 0002058, 0002063, 0001425, 0000275, 0000276, 0001558, 0000278, 0003736, 0001561, 0002460, 0002205, 0001315, 0003236, 0001319, 0008872, 0009130, 0000298, 0003755, 0002093, 0003121, 0002359, 0002747, 0003391, 0011968, 0009025, 0009027, 0001347, 0001612, 0002515, 0000467, 0031189, 0003798, 0000473, 0002650, 0000218, 0000602, 0003803, 0003677, 0003805, 0001374, 0002015, 0003551, 0001761, 0003810, 0003555, 0012899, 0003812, 0001508, 0001252, 0003557, 0003687, 0003690, 0003306, 0001771, 0003691, 0003307, 0001644, 0001263, 0001265, 0003828, 0008180, 0002804, 0003445, 0003701, 0001270, 0003577, 0002938, 0003323, 0001276, 0003324, 0000508, 0001533, 0003198, 0000767, 0003327, 
ACTA2	0012163, 0002566, 0000006, 0100749, 0001677, 0000525, 0001166, 0002705, 0000278, 0002326, 0000023, 0000028, 0100770, 0100775, 0005162, 0030891, 0002092, 0100659, 0000822, 0012727, 0002105, 0007866, 0011834, 0002875, 0002107, 0000316, 0005181, 0000965, 0004933, 0002631, 0002119, 0004942, 0004944, 0200146, 0000978, 0012499, 0004950, 0004953, 0002138, 0004954, 0002650, 0012763, 0002140, 0001249, 0011106, 0000098, 0001250, 0001763, 0002789, 0001640, 0001643, 0011499, 0001647, 0001009, 0005111, 0001659, 0002686, 0000766, 
ACTB	0100613, 0000518, 0000006, 0000007, 0001290, 0002571, 0000270, 0000278, 0001302, 0002326, 0000280, 0000028, 0000286, 0010529, 0000293, 0030502, 0001328, 0000307, 0002357, 0000054, 0000567, 0000568, 0007227, 0001339, 0000316, 0002119, 0000072, 0000588, 0001100, 0002381, 0002126, 0011342, 0010066, 0000343, 0002650, 0000347, 0008796, 0000348, 0002652, 0000612, 0012905, 0000618, 0001387, 0001643, 0005487, 0001647, 0000369, 0000882, 0002162, 0001650, 0003189, 0003196, 0000637, 0012157, 0000126, 0000396, 0001939, 0000407, 0000154, 0007325, 0000158, 0002721, 0002983, 0000431, 0000175, 0000437, 0100540, 0000445, 0002751, 0011968, 0000448, 0008897, 0000202, 0000204, 0000463, 0002000, 0000465, 0100308, 0009942, 0000470, 0000219, 0002015, 0001249, 0004322, 0001250, 0000482, 0001508, 0001510, 0001256, 0000233, 0000494, 0001518, 0001263, 0000239, 0000243, 0001268, 0002808, 0002553, 0000506, 0007930, 0001274, 0040188, 0000508, 0002300, 0000252, 
SCYL1	0002240, 0001762, 0001347, 0007141, 0000007, 0001256, 0001257, 0001744, 0001265, 0002066, 0001395, 0001270, 0002359, 0001399, 0001272, 0002936, 0001337, 
NAA10	0009473, 0000518, 0000774, 0000520, 0001290, 0002059, 0000270, 0000527, 0000528, 0000023, 0000535, 0000280, 0006682, 0009755, 0000028, 0000286, 0009762, 0020006, 0002089, 0001582, 0000047, 0010803, 0000308, 0000567, 0000568, 0004415, 0010055, 0000072, 0000588, 0006482, 0200021, 0000089, 0002650, 0001629, 0001631, 0012385, 0000612, 0000618, 0000365, 0100716, 0001647, 0000368, 0004209, 0000369, 0002167, 0000889, 0000377, 0002938, 0008572, 0000126, 0000894, 0000639, 0000384, 0001664, 0030084, 0003717, 0001159, 0001417, 0100490, 0001419, 0000396, 0001423, 0000400, 0002705, 0000403, 0004755, 0004756, 0002719, 0005280, 0000164, 0002213, 0000678, 0005288, 0000684, 0000430, 0000431, 0000690, 0002751, 0008897, 0000202, 0007370, 0002251, 0000204, 0000718, 0002000, 0000465, 0002002, 0100818, 0011220, 0006101, 0009943, 0000215, 0030680, 0000729, 0000218, 0000219, 0000733, 0001249, 0004322, 0000482, 0001250, 0003043, 0002021, 0008678, 0000742, 0001510, 0002023, 0003307, 0000494, 0001263, 0001264, 0002035, 0003828, 0000501, 0001270, 0002808, 0000505, 0003577, 0001018, 0009466, 0000252, 0000508, 0001276, 0000767, 
ACTC1	0003457, 0100578, 0001635, 0003236, 0000006, 0001639, 0001644, 0001712, 0001874, 0004308, 0000982, 0000407, 0030682, 0001723, 0011675, 0003198, 0001631, 
ACTG1	0000006, 0000270, 0000278, 0001302, 0002326, 0000408, 0000280, 0000154, 0000286, 0010529, 0000293, 0030502, 0008619, 0000431, 0001328, 0000307, 0002357, 0000437, 0000568, 0001339, 0007227, 0000316, 0100540, 0000445, 0011968, 0000448, 0011462, 0002119, 0000072, 0000202, 0000588, 0001100, 0000589, 0002381, 0002126, 0002000, 0000465, 0100308, 0000470, 0009942, 0000343, 0002650, 0000219, 0000347, 0002652, 0001249, 0004322, 0001250, 0000482, 0000612, 0001508, 0001510, 0012905, 0000233, 0001387, 0005484, 0000365, 0000494, 0005487, 0000239, 0001263, 0002162, 0000243, 0003189, 0002553, 0000377, 0001274, 0000506, 0000508, 0040188, 0002300, 0000252, 0000637, 0012157, 0000126, 
