23	28	44	47	54	76	83	89	130	154	158	160	175	179	194	218	219	233	248	252	256	272	275	276	280	286	303	307	316	322	337	343	347	365	368	369	389	400	405	411	414	426	431	453	464	470	486	490	494	501	508	518	545	568	582	627	670	682	716	717	718	722	733	739	750	752	767	771	786	821	823	824	826	938	1053	1081	1136	1156	1249	1250	1252	1256	1263	1274	1328	1385	1387	1508	1511	1513	1531	1537	1601	1611	1629	1631	1636	1643	1763	1773	2007	2019	2020	2021	2119	2120	2167	2239	2353	2357	2360	2553	2566	2575	2650	2714	2750	2808	2857	2974	2999	3196	3312	3745	4209	4322	5113	5280	5562	5692	7018	7360	8499	8736	8872	10864	10880	11800	12733	30084	100716	200055
41	108	11	48	19	5	50	5	3	28	12	17	67	14	14	56	21	17	15	125	20	21	3	12	22	49	17	9	92	24	19	35	79	77	34	69	2	22	29	20	8	33	46	19	2	43	76	26	31	48	58	84	33	40	22	3	22	10	17	0	10	2	17	7	32	11	32	8	9	21	14	3	8	15	32	4	0	20	184	147	71	36	172	41	22	17	20	94	70	33	1	43	3	8	41	37	23	44	61	11	42	31	50	6	72	41	10	19	35	5	16	24	16	32	141	18	45	39	9	22	14	24	13	12	62	155	0	44	2	48	10	12	6	42	31	43	0	18	1	2	7	21
23	28	44	47	54	76	83	89	130	154	158	160	175	179	194	218	219	233	248	252	256	272	275	276	280	286	303	307	316	322	337	343	347	365	368	369	389	400	405	411	414	426	431	453	464	470	486	490	494	501	508	518	545	568	582	627	670	682	716	717	718	722	733	739	750	752	767	771	786	821	823	824	826	938	1053	1081	1136	1156	1249	1250	1252	1256	1263	1274	1328	1385	1387	1508	1511	1513	1531	1537	1601	1611	1629	1631	1636	1643	1763	1773	2007	2019	2020	2021	2119	2120	2167	2239	2353	2357	2360	2553	2566	2575	2650	2714	2750	2808	2857	2974	2999	3196	3312	3745	4209	4322	5113	5280	5562	5692	7018	7360	8499	8736	8872	10864	10880	11800	12733	30084	100716	200055
18	69	12	28	19	6	26	10	5	16	11	16	38	11	10	50	13	15	22	82	27	24	9	14	19	40	18	5	56	17	18	25	59	57	32	52	7	17	18	17	12	24	40	10	3	36	67	14	38	20	58	57	25	29	13	5	12	8	23	10	9	1	3	19	19	8	17	7	6	16	19	3	9	20	13	7	1	34	121	139	84	19	127	21	9	4	23	83	44	23	8	17	6	8	27	25	13	25	16	4	29	21	16	6	24	23	15	11	16	2	8	12	3	6	67	9	24	24	13	7	3	23	8	10	23	96	1	27	3	17	7	13	4	17	36	23	1	23	2	12	5	4
23	28	44	47	54	76	83	89	130	154	158	160	175	179	194	218	219	233	248	252	256	272	275	276	280	286	303	307	316	322	337	343	347	365	368	369	389	400	405	411	414	426	431	453	464	470	486	490	494	501	508	518	545	568	582	627	670	682	716	717	718	722	733	739	750	752	767	771	786	821	823	824	826	938	1053	1081	1136	1156	1249	1250	1252	1256	1263	1274	1328	1385	1387	1508	1511	1513	1531	1537	1601	1611	1629	1631	1636	1643	1763	1773	2007	2019	2020	2021	2119	2120	2167	2239	2353	2357	2360	2553	2566	2575	2650	2714	2750	2808	2857	2974	2999	3196	3312	3745	4209	4322	5113	5280	5562	5692	7018	7360	8499	8736	8872	10864	10880	11800	12733	30084	100716	200055
31	120	19	54	44	8	32	20	6	19	11	27	79	21	7	66	23	23	32	105	63	29	9	24	31	55	15	14	81	21	27	38	93	83	39	63	9	28	34	14	10	36	63	10	0	55	112	29	49	38	72	83	50	32	34	14	12	6	26	30	25	7	11	24	52	13	25	17	16	21	43	10	14	35	7	7	1	51	186	198	94	37	189	33	35	16	20	98	57	38	17	27	6	15	65	49	28	37	23	25	40	27	26	19	40	34	21	15	26	5	18	19	20	4	108	27	37	40	24	6	15	34	10	18	46	151	2	48	7	27	30	13	2	35	40	32	6	17	2	27	8	19
23	28	44	47	54	76	83	89	130	154	158	160	175	179	194	218	219	233	248	252	256	272	275	276	280	286	303	307	316	322	337	343	347	365	368	369	389	400	405	411	414	426	431	453	464	470	486	490	494	501	508	518	545	568	582	627	670	682	716	717	718	722	733	739	750	752	767	771	786	821	823	824	826	938	1053	1081	1136	1156	1249	1250	1252	1256	1263	1274	1328	1385	1387	1508	1511	1513	1531	1537	1601	1611	1629	1631	1636	1643	1763	1773	2007	2019	2020	2021	2119	2120	2167	2239	2353	2357	2360	2553	2566	2575	2650	2714	2750	2808	2857	2974	2999	3196	3312	3745	4209	4322	5113	5280	5562	5692	7018	7360	8499	8736	8872	10864	10880	11800	12733	30084	100716	200055
29	105	19	35	32	20	46	13	8	10	12	26	72	13	11	60	17	14	27	98	38	29	9	28	23	52	21	5	85	17	23	41	94	69	39	53	17	31	33	14	13	31	54	14	1	52	98	23	51	40	84	91	44	27	26	9	24	16	30	18	16	7	5	32	37	10	34	19	17	32	36	10	6	40	15	10	3	50	160	201	116	27	150	21	16	11	22	91	51	43	7	34	6	15	48	31	17	29	32	17	38	25	28	13	24	20	20	22	24	6	15	13	14	6	95	16	37	27	15	8	7	42	20	7	32	127	2	55	8	23	20	14	5	28	54	33	5	27	6	18	6	11
23	28	44	47	54	76	83	89	130	154	158	160	175	179	194	218	219	233	248	252	256	272	275	276	280	286	303	307	316	322	337	343	347	365	368	369	389	400	405	411	414	426	431	453	464	470	486	490	494	501	508	518	545	568	582	627	670	682	716	717	718	722	733	739	750	752	767	771	786	821	823	824	826	938	1053	1081	1136	1156	1249	1250	1252	1256	1263	1274	1328	1385	1387	1508	1511	1513	1531	1537	1601	1611	1629	1631	1636	1643	1763	1773	2007	2019	2020	2021	2119	2120	2167	2239	2353	2357	2360	2553	2566	2575	2650	2714	2750	2808	2857	2974	2999	3196	3312	3745	4209	4322	5113	5280	5562	5692	7018	7360	8499	8736	8872	10864	10880	11800	12733	30084	100716	200055
19	116	18	32	26	14	28	8	6	11	14	21	48	12	8	60	12	15	28	80	38	23	15	20	19	46	18	8	70	9	15	28	68	62	33	60	12	22	30	22	10	18	49	10	1	43	57	15	49	41	64	75	25	30	21	5	12	7	24	12	16	4	10	24	23	9	31	17	18	26	28	7	6	29	13	5	1	41	149	157	82	25	139	24	10	6	17	67	42	45	9	21	8	5	35	32	10	24	22	7	35	23	23	12	34	14	15	10	19	6	13	10	11	7	81	8	36	24	8	6	6	23	10	9	29	117	1	51	3	21	13	13	1	32	26	24	3	20	5	9	2	6
